Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0;0;1;0.573242;-0.468567;-0.366577;-0.866577;0.308319;-0.190643;0.00716591;-0.0508347;-0.0200577;669.99;599.991;670.01;99.6323;-0.0305176;0.0305176;-0.00762939;-0.0228882;-0.00209427;-0.000671387;670.048;669.99;599.995;-0.0015564;-0.0308838;46.6697
0.01;0;1;0.519897;-0.522156;-0.400696;-0.901611;0.320404;-0.217499;-0.0406075;-0.0301056;-0.0249481;670.029;600.009;670.01;99.7604;0.0305176;0.0915527;-0.00762939;0.00762939;0.00069809;-0.000671387;670.029;669.99;599.995;-0.0015564;0.228668;46.6606
0.02;0;1;-85.6293;87.5676;54.2811;55.6255;-37.8275;16.817;2.98437;2.97258;3.22502;669.99;599.973;669.99;99.9252;-0.0915527;-0.0305176;-0.0228882;0.00762939;-0.00209427;-0.00201035;670.029;669.99;599.986;-0.0015564;-0.0308838;46.6789
0.03;0;1;-93.9749;92.4139;58.7484;59.7919;-41.6604;18.4119;3.25859;3.24995;3.35122;670.01;599.991;670.01;99.7543;0.0305176;0.0305176;-0.0228882;0.00762939;0.00069809;-0.00201035;670.029;669.971;600.005;-0.00161743;-0.0926819;46.6422
0.04;0;1;-61.259;60.8729;38.5944;38.8897;-27.0784;11.9622;2.17988;2.07434;2.16746;669.99;599.991;669.99;99.9252;-0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.029;670.01;600.005;-0.0015564;0.0556335;46.6514
