Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.18;0;1;0.386597;-0.843445;-0.144897;-0.919067;0.0423279;-0.0617523;0.0425167;-0.00543213;-0.0132065;669.99;599.973;669.99;99.0158;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.00201035;670.029;670.01;599.995;-0.0015564;-0.0185242;46.6606
0.19;0;1;0.279968;-1.00409;-0.179016;-0.84906;0.0544128;-0.0886078;-0.0587616;0.018261;-0.0269051;669.99;599.991;670.01;99.0524;0.0305176;0.0305176;-0.0228882;-0.00762939;0.00069809;-0.00201035;670.029;670.01;599.995;-0.00149536;0.117432;46.6514
0.2;0;1;0.253296;-1.08441;-0.230164;-0.79657;0.0423279;-0.0617523;-0.0893364;-0.0241852;-0.0249481;669.99;599.973;669.971;98.9364;0.0305176;0.0305176;-0.00762939;-0.00762939;-0.00209427;-0.000671387;670.01;670.029;599.995;-0.00149536;-0.191559;46.6697
0.21;0;1;0.253296;-1.24506;-0.31543;-0.744019;0.0544128;-0.029541;-0.0492077;-0.0468864;-0.0278816;670.01;599.991;669.99;98.9914;0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;670.01;599.995;-0.00161743;-0.0432434;46.6697
0.22;0;1;0.333252;-1.21826;-0.349548;-0.656494;0.0181274;-0.00268555;0.0415611;-0.021225;-0.0317955;669.99;599.973;669.971;98.9425;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00209427;-0.000671387;670.01;669.99;600.005;-0.00149536;0.0927124;46.6697
0.23;0;1;0.493225;-1.16473;-0.281311;-0.516479;0.0544128;-0.0563812;0.0635376;0.0330658;-0.0278816;669.971;599.991;670.01;99.0524;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;670.01;600.005;-0.0015564;-0.0308838;46.6697
0.24;0;1;0.653198;-1.00409;-0.349548;-0.481445;0.0544128;-0.0456543;-0.00621223;0.0814323;-0.0347328;670.01;600.009;669.971;99.0097;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00209427;-0.00201035;670.01;670.01;600.005;-0.0015564;-0.0803223;46.6697
0.25;0;1;0.839844;-0.870178;-0.281311;-0.376404;-0.0181274;-0.029541;-0.0396519;-0.00543213;-0.0425568;669.99;599.991;669.99;99.0585;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;669.99;600.005;-0.00161743;-0.0185242;46.6697
0.26;0;1;1.02649;-0.6828;-0.230164;-0.393921;-0.0181274;-0.0510101;-0.0386963;-0.0370178;-0.0308189;669.971;599.973;669.971;98.9975;-0.0305176;0.0305176;-0.0228882;-0.00762939;0.00069809;-0.00201035;670.01;669.99;600.005;-0.0015564;-0.117401;46.6697
0.27;0;1;1.13318;-0.495361;-0.383606;-0.306396;-0.0302429;-0.0778656;0.0329628;-0.039978;-0.0171204;670.01;599.991;670.01;99.1196;0.0305176;-0.0305176;-0.0228882;0.00762939;-0.00209427;-0.000671387;670.029;670.01;599.995;-0.00149536;-0.15448;46.6697
0.28;0;1;1.05316;-0.522156;-0.349548;-0.393921;-0.0302429;-0.0402832;0.112265;-0.0143127;-0.00538254;669.971;599.991;670.01;98.9364;-0.0915527;-0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.01;670.01;599.995;-0.00161743;-0.0432434;46.6606
0.29;0;1;0.946533;-0.495361;-0.213135;-0.271362;-0.0181274;-0.104721;-0.0148106;0.0597153;0.107124;669.99;599.973;670.01;99.1257;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;669.99;600.005;-0.00161743;0.241028;46.6697
0.3;0;1;0.946533;-0.415039;-0.196045;-0.306396;-0.0302429;-0.0778656;-0.00525665;0.0488586;-0.0151634;670.01;599.991;670.01;98.9364;-0.0305176;0.0915527;-0.00762939;-0.00762939;0.00209427;-0.00201035;670.01;670.01;599.995;-0.00149536;-0.0308838;46.6606
0.31;0;1;0.706543;-0.415039;-0.0426025;-0.34137;-0.0302429;-0.0510101;0.0654488;-0.0547829;-0.010273;669.99;599.973;670.01;99.0585;0.0305176;0.0915527;0.00762939;0.00762939;0.00209427;-0.000671387;670.029;670.01;600.005;-0.00161743;0.228668;46.6606
0.32;0;1;0.573242;-0.441833;0.0426636;-0.218872;-0.0302429;-0.0886078;0.0358295;-0.021225;-0.010273;669.971;599.973;670.01;99.0036;0.0305176;-0.0305176;-0.00762939;0.00762939;0.00209427;-0.00201035;670.029;669.99;600.005;-0.00149536;0.0309143;46.6697
0.33;0;1;0.386597;-0.629211;0.093811;-0.288879;0.00604248;-0.0939789;-0.0157661;-0.041954;-0.010273;669.99;599.973;670.01;99.0036;-0.0305176;-0.0305176;-0.00762939;0.00762939;0.00209427;-0.000671387;670.029;669.99;600.005;-0.00149536;-0.0432434;46.6514
0.34;0;1;0.146606;-0.763123;0.434814;-0.306396;0.0423279;-0.0832367;-0.00334549;-0.038002;-0.0210342;670.01;599.991;670.01;98.9303;-0.0305176;0.0305176;-0.0228882;0.00762939;0.00069809;-0.000671387;670.029;669.99;600.005;-0.00149536;-0.129761;46.6789
0.35;0;1;-0.0400391;-0.81665;0.417786;-0.288879;-0.0181274;-0.104721;0.0807362;-0.0834084;-0.0229912;670.01;599.991;669.99;98.9364;-0.0305176;0.0305176;-0.00762939;-0.00762939;-0.00209427;-0.000671387;670.01;669.99;599.995;-0.0015564;-0.0803223;46.6697
0.36;0;1;-0.0933228;-0.977295;0.383667;-0.376404;0.0544128;-0.104721;0.0616264;0.00740051;-0.0278816;670.029;599.991;669.99;98.8876;-0.0305176;-0.0305176;-0.00762939;0.00762939;-0.00209427;-0.000671387;670.029;669.99;600.005;-0.0015564;0.00619507;46.688
0.37;0;1;-0.200012;-1.13794;0.554138;-0.288879;0.0664978;-0.131577;0.0606709;-0.0222092;-0.0249481;669.99;599.991;670.01;98.9425;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.00201035;670.01;669.99;600.005;-0.00149536;-0.0308838;46.6606
0.38;0;1;-0.253357;-1.16473;0.196106;-0.34137;0.0785828;-0.115463;0.0128975;-0.0468864;-0.0317955;669.971;599.973;670.01;99.0036;0.0305176;0.0305176;-0.00762939;0.0228882;0.00069809;-0.000671387;670.029;670.029;599.995;-0.00143433;-0.290436;46.6697
0.39;0;1;-0.119995;-1.29858;0.417786;-0.271362;0.0664978;-0.115463;-0.0692711;-0.0577469;-0.0327759;669.99;599.973;669.99;99.0524;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.00201035;670.01;670.01;600.005;-0.00149536;-0.0308838;46.6606
0.4;0;1;1.23981;-0.307922;0.468933;-0.586487;0.126953;-0.120834;0.099844;0.0449104;0.071907;669.99;599.973;669.971;98.9547;-0.0305176;-0.0305176;0.00762939;0.00762939;0.00209427;-0.00201035;670.01;670.01;599.995;-0.00161743;-0.327515;46.6606
0.41;0;1;0.0666504;-1.32538;-0.00848389;-0.288879;0.0664978;-0.115463;0.120865;0.0439224;-0.00538254;669.99;599.973;670.01;99.0524;0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;669.99;600.005;-0.0015564;0.0432739;46.6422
0.42;0;1;1.18646;-0.548889;0.0767212;-0.358887;0.126953;-0.0886078;0.0740471;0.158424;0.233326;670.01;599.973;669.99;98.9975;0.0305176;0.0305176;0.00762939;0.00762939;-0.00209427;-0.000671387;670.029;670.01;599.995;-0.00149536;-0.0185242;46.6697
0.43;0;1;0.599915;-1.13794;-0.213135;-0.34137;0.0906677;-0.09935;-0.0214996;0.0498466;0.00733566;669.99;599.991;669.99;98.9425;-0.0915527;-0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;670.01;600.005;-0.00149536;-0.129761;46.6606
0.44;0;1;1.53314;-0.575684;-0.11084;-0.271362;0.126953;-0.0939789;-0.0339203;0.148552;0.0856018;669.971;599.991;670.029;98.9975;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;670.01;600.005;-0.00149536;-0.129761;46.6606
0.45;0;1;1.13318;-0.896973;-0.366577;-0.306396;0.0906677;-0.104721;-0.00525665;0.0330658;-0.0210342;669.99;599.991;670.01;98.9486;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.01;670.01;600.005;-0.0015564;0.15451;46.6422
0.46;0;1;1.71979;-0.495361;-0.281311;-0.306396;0.126953;-0.09935;-0.0406075;0.156448;0.0591888;669.99;599.973;669.99;99.0097;-0.0305176;0.0305176;-0.00762939;0.00762939;-0.00209427;-0.00201035;670.01;670.01;600.005;-0.00167847;-0.0308838;46.6697
0.47;0;1;1.37311;-0.81665;-0.417725;-0.253845;0.0906677;-0.09935;-0.0148106;0.0261574;-0.0141869;669.99;599.973;670.01;99.0646;0.0305176;0.0915527;-0.00762939;0.00762939;0.00069809;-0.00201035;670.01;669.99;600.005;-0.00161743;0.105072;46.6514
0.48;0;1;1.77307;-0.441833;-0.400696;-0.306396;0.102783;-0.104721;0.159082;0.119926;0.0454903;669.99;600.009;670.01;98.9975;0.0305176;0.0305176;0.00762939;0.00762939;0.00069809;-0.000671387;670.029;670.01;599.986;-0.0015564;0.16687;46.6606
0.49;0;1;1.3465;-0.789856;-0.451843;-0.113831;0.126953;-0.0939789;0.0176754;0.0824203;-0.0239677;670.01;599.991;669.99;98.9975;-0.0305176;0.0305176;-0.0228882;-0.0228882;0.00069809;-0.00201035;670.029;670.01;600.005;-0.0015564;-0.0679626;46.6606
0.5;0;1;1.39978;-0.6828;-0.400696;-0.166321;0.126953;-0.115463;0.0205421;0.132759;0.0562515;670.01;599.991;669.99;98.9425;-0.0915527;0.0305176;-0.00762939;0.00762939;0.00209427;0.000667572;670.01;669.971;600.005;-0.0015564;-0.203918;46.6606
0.51;0;1;0.893188;-0.896973;-0.468872;-0.0437622;0.114868;-0.131577;-0.0683155;-0.0162888;0.079731;669.99;599.973;669.99;99.0036;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.048;670.029;599.995;-0.0015564;-0.0308838;46.6697
0.52;0;1;0.946533;-0.843445;-0.434753;-0.0612793;0.0785828;-0.09935;0.0568485;0.0853806;0.0317955;669.99;599.991;670.01;98.9975;0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.01;670.01;600.005;-0.00149536;-0.00616455;46.6606
0.53;0;1;0.466553;-1.21826;-0.434753;0.0262451;0.0664978;-0.09935;0.0367851;0.0419502;-0.0298386;669.99;599.991;669.99;99.0097;-0.0915527;-0.0305176;0.00762939;-0.00762939;0.00069809;-0.000671387;670.01;669.99;599.995;-0.0015564;-0.0432434;46.6514
0.54;0;1;0.333252;-1.08441;-0.400696;0.00872803;0.0664978;-0.0886078;0.0692692;0.157436;0.0640793;669.971;599.973;670.01;99.0097;-0.0305176;0.0305176;0.00762939;0.00762939;0.00069809;-0.0033493;670.029;670.01;599.995;-0.00161743;0.241028;46.6606
0.55;0;1;-0.119995;-1.37891;-0.383606;0.0612183;0.0302124;-0.126205;-0.0100327;0.0488586;0.0660362;669.99;600.009;670.01;98.9486;-0.0305176;0.0305176;0.00762939;-0.00762939;0.00069809;-0.000671387;670.01;670.01;599.986;-0.00149536;-0.0185242;46.6606
