Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.19;0;1;-1.09906;1.18665;0.622375;0.67395;0.072998;-0.0456543;-0.0750046;-0.0261574;-0.0454941;669.99;599.991;669.99;99.6994;0.213623;-1.86157;240.78;-282.284;-0.0163269;0.134789;670.029;669.99;670.01;-0.00161743;-0.055603;46.6606
0.2;0;1;-1.01959;1.15997;0.656494;0.638916;0.133484;-0.0671234;-0.164818;0.0014801;-0.0122299;669.99;600.009;669.99;99.7604;0.274658;-1.86157;241.253;-281.827;-0.0163269;0.136173;670.01;669.99;669.99;-0.00161743;0.117432;46.6606
0.21;0;1;-1.09906;1.07996;0.673523;0.778992;0.133484;-0.0832367;-0.205902;-0.0468864;0.0699501;669.99;599.954;669.99;99.7482;0.213623;-1.80054;240.795;-282.284;-0.0137138;0.132027;670.029;669.99;670.01;-0.0017395;-0.117401;46.6514
0.22;0;1;-1.07257;1.10663;0.622375;0.831543;0.0608826;-0.0510101;-0.16864;0.00542831;-0.0405998;670.01;600.009;670.029;99.8093;0.213623;-1.80054;241.237;-281.827;-0.0163269;0.133408;670.029;670.01;670.01;-0.00167847;0.0556335;46.6331
0.23;0;1;-1.28442;0.973328;0.571228;0.884033;0.085083;-0.0510101;-0.176283;-0.0676155;-0.0464706;669.99;599.973;669.99;99.6994;0.335693;-1.86157;240.81;-282.269;-0.0150223;0.133408;670.029;670.01;669.99;-0.00167847;-0.0185242;46.6697
0.24;0;1;-1.258;0.946655;0.520081;0.919067;0.157654;-0.0617523;-0.182972;-0.00345612;-0.0386429;670.01;600.009;670.01;99.7604;0.213623;-1.67847;241.268;-281.811;-0.0137138;0.132027;670.029;670.01;669.99;-0.00167847;0.203949;46.6514
0.25;0;1;-1.57574;0.813293;0.417786;1.00659;0.145569;-0.0349121;-0.227879;-0.03899;0.0758171;669.971;599.973;670.01;99.7665;0.274658;-1.86157;240.795;-282.284;-0.0150223;0.134789;670.01;669.99;670.01;-0.00161743;0.0432739;46.6514
0.26;0;1;-1.60223;0.786621;0.468933;0.989075;0.133484;-0.0617523;-0.215456;-0.0143127;0.00440216;669.99;599.991;670.01;99.7543;0.274658;-1.7395;241.268;-281.827;-0.0150223;0.133408;669.971;669.99;670.01;-0.0015564;-0.0803223;46.6789
0.27;0;1;-1.62872;0.679993;0.485962;0.971558;0.121368;-0.0671234;-0.219278;-0.0241852;-0.0063591;669.971;599.991;669.99;99.7604;0.335693;-1.7395;240.81;-282.269;-0.0137138;0.133408;670.01;669.971;669.99;-0.0017395;-0.105042;46.6514
0.28;0;1;-1.73468;0.733276;0.400696;0.884033;0.145569;-0.0510101;-0.167685;-0.0143127;0.0122299;669.99;599.991;669.99;99.8032;0.274658;-1.80054;241.253;-281.842;-0.0150223;0.130642;670.01;670.01;670.01;-0.00149536;-0.0432434;46.6606
