Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0;0;1;-1.15204;0.199951;-0.52002;0.638916;-0.0721741;-0.0886078;-0.0816917;-0.0281334;-0.0347328;669.971;599.973;670.01;100.389;0.213623;-1.7395;240.902;-281.918;-0.0163269;0.129261;670.01;669.971;669.971;-0.00161743;-0.0308838;46.6514
0.01;0;1;-1.12555;0.306641;-0.366577;0.638916;-0.0842896;-0.0832367;0.0138531;0.00937653;-0.0347328;669.99;600.009;670.01;100.267;0.213623;-1.7395;240.841;-281.949;-0.0163269;0.130642;670.029;670.01;669.971;-0.00167847;-0.0926819;46.6697
0.02;0;1;-1.15204;0.253296;-0.213135;0.62146;-0.0721741;-0.0832367;-0.0148106;0.0320778;-0.0132065;669.99;599.991;670.01;100.09;0.213623;-1.7395;240.917;-281.918;-0.0176353;0.133408;670.048;670.029;670.01;-0.00167847;-0.0185242;46.6606
0.03;0;1;-0.966675;0.306641;-0.11084;0.603943;-0.0480042;-0.09935;-0.0883808;0.0607033;0.0640793;670.01;600.009;669.99;100.102;0.152588;-1.80054;240.856;-281.979;-0.0176353;0.129261;670.01;670.01;670.01;-0.00161743;0.00619507;46.6514
0.04;0;1;-0.913696;0.306641;0.0255737;0.586426;-0.10849;-0.0886078;-0.0730934;0.0429382;-0.0366859;669.99;599.954;669.99;100.09;0.0915527;-1.7395;240.902;-281.918;-0.0163269;0.129261;670.048;669.99;670.029;-0.00167847;0.203949;46.6514
